,errors
0,"['IVR', 'KeyError', KeyError(2008), ['File : soneprocess.py , Line : 90, Func.Name : parse_helper, Message : revenue_growth = (revenue[ipo_year] - revenue[ipo_year-1]) / revenue[ipo_year-1]']]"
1,"['PMT', 'KeyError', KeyError(2008), ['File : soneprocess.py , Line : 90, Func.Name : parse_helper, Message : revenue_growth = (revenue[ipo_year] - revenue[ipo_year-1]) / revenue[ipo_year-1]']]"
2,"['GSM', 'KeyError', KeyError(2008), ['File : soneprocess.py , Line : 90, Func.Name : parse_helper, Message : revenue_growth = (revenue[ipo_year] - revenue[ipo_year-1]) / revenue[ipo_year-1]']]"
3,"['AVGO', 'KeyError', KeyError(2008), ['File : soneprocess.py , Line : 90, Func.Name : parse_helper, Message : revenue_growth = (revenue[ipo_year] - revenue[ipo_year-1]) / revenue[ipo_year-1]']]"
4,"['EM', 'KeyError', KeyError(2008), ['File : soneprocess.py , Line : 90, Func.Name : parse_helper, Message : revenue_growth = (revenue[ipo_year] - revenue[ipo_year-1]) / revenue[ipo_year-1]']]"
5,"['BSBR', 'KeyError', KeyError('ebit'), ['File : soneprocess.py , Line : 79, Func.Name : parse_helper, Message : ret[""ebit""] =  rowvalues[""ebit""]']]"
6,"['OMER', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
7,"['GTEC', 'KeyError', KeyError(2008), ['File : soneprocess.py , Line : 90, Func.Name : parse_helper, Message : revenue_growth = (revenue[ipo_year] - revenue[ipo_year-1]) / revenue[ipo_year-1]']]"
8,"['ANTH', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
9,"['AVEO', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
10,"['FIBK', 'KeyError', KeyError('ebit'), ['File : soneprocess.py , Line : 79, Func.Name : parse_helper, Message : ret[""ebit""] =  rowvalues[""ebit""]']]"
11,"['PRI', 'KeyError', KeyError('grossprofit'), [""File : soneprocess.py , Line : 80, Func.Name : parse_helper, Message : ret['grossprofit']=rowvalues['grossprofit']""]]"
12,"['MUSA', 'KeyError', KeyError(2009), ['File : soneprocess.py , Line : 90, Func.Name : parse_helper, Message : revenue_growth = (revenue[ipo_year] - revenue[ipo_year-1]) / revenue[ipo_year-1]']]"
13,"['ALIM', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
14,"['ONE', 'KeyError', KeyError(2009), ['File : soneprocess.py , Line : 90, Func.Name : parse_helper, Message : revenue_growth = (revenue[ipo_year] - revenue[ipo_year-1]) / revenue[ipo_year-1]']]"
15,"['HPP', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
16,"['GDOT', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
17,"['BKU', 'KeyError', KeyError('ebit'), ['File : soneprocess.py , Line : 79, Func.Name : parse_helper, Message : ret[""ebit""] =  rowvalues[""ebit""]']]"
18,"['BCDS', 'KeyError', KeyError(2010), ['File : soneprocess.py , Line : 90, Func.Name : parse_helper, Message : revenue_growth = (revenue[ipo_year] - revenue[ipo_year-1]) / revenue[ipo_year-1]']]"
19,"['APO', 'KeyError', KeyError('ebit'), ['File : soneprocess.py , Line : 79, Func.Name : parse_helper, Message : ret[""ebit""] =  rowvalues[""ebit""]']]"
20,"['CLVS', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
21,"['VSTM', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
22,"['RM', 'KeyError', KeyError('ebit'), ['File : soneprocess.py , Line : 79, Func.Name : parse_helper, Message : ret[""ebit""] =  rowvalues[""ebit""]']]"
23,"['MACK', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
24,"['CG', 'KeyError', KeyError('ebit'), ['File : soneprocess.py , Line : 79, Func.Name : parse_helper, Message : ret[""ebit""] =  rowvalues[""ebit""]']]"
25,"['EVER', 'KeyError', KeyError(2011), ['File : soneprocess.py , Line : 90, Func.Name : parse_helper, Message : revenue_growth = (revenue[ipo_year] - revenue[ipo_year-1]) / revenue[ipo_year-1]']]"
26,"['TLYS', 'KeyError', KeyError('totalassets'), [""File : soneprocess.py , Line : 84, Func.Name : parse_helper, Message : ret['totalassets']=rowvalues['totalassets']""]]"
27,"['EUSP', 'ZeroDivisionError', ZeroDivisionError('float division by zero'), ['File : soneprocess.py , Line : 90, Func.Name : parse_helper, Message : revenue_growth = (revenue[ipo_year] - revenue[ipo_year-1]) / revenue[ipo_year-1]']]"
28,"['MANU', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
29,"['PFMT', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
30,"['NBHC', 'KeyError', KeyError('ebit'), ['File : soneprocess.py , Line : 79, Func.Name : parse_helper, Message : ret[""ebit""] =  rowvalues[""ebit""]']]"
31,"['SRC', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
32,"['RGLS', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
33,"['ICPT', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
34,"['WDAY', 'KeyError', KeyError(2011), ['File : soneprocess.py , Line : 90, Func.Name : parse_helper, Message : revenue_growth = (revenue[ipo_year] - revenue[ipo_year-1]) / revenue[ipo_year-1]']]"
35,"['CNOB', 'KeyError', KeyError('ebit'), ['File : soneprocess.py , Line : 79, Func.Name : parse_helper, Message : ret[""ebit""] =  rowvalues[""ebit""]']]"
36,"['IBTX', 'KeyError', KeyError('ebit'), ['File : soneprocess.py , Line : 79, Func.Name : parse_helper, Message : ret[""ebit""] =  rowvalues[""ebit""]']]"
37,"['CMRX', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
38,"['HASI', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
39,"['VOYA', 'KeyError', KeyError('grossprofit'), [""File : soneprocess.py , Line : 80, Func.Name : parse_helper, Message : ret['grossprofit']=rowvalues['grossprofit']""]]"
40,"['TSC', 'KeyError', KeyError('ebit'), ['File : soneprocess.py , Line : 79, Func.Name : parse_helper, Message : ret[""ebit""] =  rowvalues[""ebit""]']]"
41,"['PFSI', 'KeyError', KeyError(2012), ['File : soneprocess.py , Line : 90, Func.Name : parse_helper, Message : revenue_growth = (revenue[ipo_year] - revenue[ipo_year-1]) / revenue[ipo_year-1]']]"
42,"['SLNN', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
43,"['EPZM', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
44,"['AGIO', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
45,"['HTBX', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
46,"['ONTX', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
47,"['ASC', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
48,"['AMH', 'KeyError', KeyError(2011), ['File : soneprocess.py , Line : 90, Func.Name : parse_helper, Message : revenue_growth = (revenue[ipo_year] - revenue[ipo_year-1]) / revenue[ipo_year-1]']]"
49,"['MIXT', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
50,"['FPRX', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
51,"['XLRN', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
52,"['PINC', 'KeyError', KeyError('totalassets'), [""File : soneprocess.py , Line : 84, Func.Name : parse_helper, Message : ret['totalassets']=rowvalues['totalassets']""]]"
53,"['FATE', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
54,"['RMAX', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
55,"['MGNX', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
56,"['AERI', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
57,"['ESNT', 'KeyError', KeyError('grossprofit'), [""File : soneprocess.py , Line : 80, Func.Name : parse_helper, Message : ret['grossprofit']=rowvalues['grossprofit']""]]"
58,"['KPTI', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
59,"['DRIO', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
60,"['NMIH', 'KeyError', KeyError('grossprofit'), [""File : soneprocess.py , Line : 80, Func.Name : parse_helper, Message : ret['grossprofit']=rowvalues['grossprofit']""]]"
61,"['TNDM', 'ZeroDivisionError', ZeroDivisionError('float division by zero'), ['File : soneprocess.py , Line : 90, Func.Name : parse_helper, Message : revenue_growth = (revenue[ipo_year] - revenue[ipo_year-1]) / revenue[ipo_year-1]']]"
62,"['XNCR', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
63,"['TLOG', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
64,"['RDUS', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
65,"['ARDX', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
66,"['ADPT', 'KeyError', KeyError(2013), ['File : soneprocess.py , Line : 90, Func.Name : parse_helper, Message : revenue_growth = (revenue[ipo_year] - revenue[ipo_year-1]) / revenue[ipo_year-1]']]"
67,"['ISTR', 'KeyError', KeyError('ebit'), ['File : soneprocess.py , Line : 79, Func.Name : parse_helper, Message : ret[""ebit""] =  rowvalues[""ebit""]']]"
68,"['SAGE', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
69,"['HQY', 'KeyError', KeyError(2012), ['File : soneprocess.py , Line : 90, Func.Name : parse_helper, Message : revenue_growth = (revenue[ipo_year] - revenue[ipo_year-1]) / revenue[ipo_year-1]']]"
70,"['SYF', 'KeyError', KeyError('ebit'), ['File : soneprocess.py , Line : 79, Func.Name : parse_helper, Message : ret[""ebit""] =  rowvalues[""ebit""]']]"
71,"['EARS', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
72,"['OTIC', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
73,"['AFMD', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
74,"['PRQR', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
75,"['AVAL', 'KeyError', KeyError('ebit'), ['File : soneprocess.py , Line : 79, Func.Name : parse_helper, Message : ret[""ebit""] =  rowvalues[""ebit""]']]"
76,"['MDLY', 'KeyError', KeyError('ebit'), ['File : soneprocess.py , Line : 79, Func.Name : parse_helper, Message : ret[""ebit""] =  rowvalues[""ebit""]']]"
77,"['CFG', 'KeyError', KeyError('ebit'), ['File : soneprocess.py , Line : 79, Func.Name : parse_helper, Message : ret[""ebit""] =  rowvalues[""ebit""]']]"
78,"['GWGH', 'KeyError', KeyError('grossprofit'), [""File : soneprocess.py , Line : 80, Func.Name : parse_helper, Message : ret['grossprofit']=rowvalues['grossprofit']""]]"
79,"['XENE', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
80,"['CHRS', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
81,"['TBK', 'KeyError', KeyError('ebit'), ['File : soneprocess.py , Line : 79, Func.Name : parse_helper, Message : ret[""ebit""] =  rowvalues[""ebit""]']]"
82,"['FGEN', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
83,"['STOR', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
84,"['PGRE', 'KeyError', KeyError(2013), ['File : soneprocess.py , Line : 90, Func.Name : parse_helper, Message : revenue_growth = (revenue[ipo_year] - revenue[ipo_year-1]) / revenue[ipo_year-1]']]"
85,"['LC', 'KeyError', KeyError('ebit'), ['File : soneprocess.py , Line : 79, Func.Name : parse_helper, Message : ret[""ebit""] =  rowvalues[""ebit""]']]"
86,"['MOMO', 'ZeroDivisionError', ZeroDivisionError('float division by zero'), ['File : soneprocess.py , Line : 90, Func.Name : parse_helper, Message : revenue_growth = (revenue[ipo_year] - revenue[ipo_year-1]) / revenue[ipo_year-1]']]"
87,"['JRVR', 'KeyError', KeyError('grossprofit'), [""File : soneprocess.py , Line : 80, Func.Name : parse_helper, Message : ret['grossprofit']=rowvalues['grossprofit']""]]"
88,"['BLPH', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
89,"['SMMT', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
90,"['CLLS', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
91,"['XBIT', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
92,"['CDTX', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
93,"['VIRT', 'KeyError', KeyError('ebit'), ['File : soneprocess.py , Line : 79, Func.Name : parse_helper, Message : ret[""ebit""] =  rowvalues[""ebit""]']]"
94,"['KMPH', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
95,"['BPMC', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
96,"['ADAP', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
97,"['COLL', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
98,"['LIFE', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
99,"['BVXV', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
