,errors
200,"['AXNX', 'ZeroDivisionError', ZeroDivisionError('float division by zero'), ['File : soneprocess.py , Line : 90, Func.Name : parse_helper, Message : revenue_growth = (revenue[ipo_year] - revenue[ipo_year-1]) / revenue[ipo_year-1]']]"
201,"['CNF', 'KeyError', KeyError('ebit'), ['File : soneprocess.py , Line : 79, Func.Name : parse_helper, Message : ret[""ebit""] =  rowvalues[""ebit""]']]"
202,"['ETON', 'KeyError', KeyError(2017), ['File : soneprocess.py , Line : 90, Func.Name : parse_helper, Message : revenue_growth = (revenue[ipo_year] - revenue[ipo_year-1]) / revenue[ipo_year-1]']]"
203,"['WEI', 'KeyError', KeyError('ebit'), ['File : soneprocess.py , Line : 79, Func.Name : parse_helper, Message : ret[""ebit""] =  rowvalues[""ebit""]']]"
204,"['TLC', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
205,"['MOGU', 'KeyError', KeyError(2016), ['File : soneprocess.py , Line : 90, Func.Name : parse_helper, Message : revenue_growth = (revenue[ipo_year] - revenue[ipo_year-1]) / revenue[ipo_year-1]']]"
206,"['MRNA', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
207,"['DMAC', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
208,"['QFIN', 'KeyError', KeyError('ebit'), ['File : soneprocess.py , Line : 79, Func.Name : parse_helper, Message : ret[""ebit""] =  rowvalues[""ebit""]']]"
209,"['APM', 'KeyError', KeyError(2017), ['File : soneprocess.py , Line : 90, Func.Name : parse_helper, Message : revenue_growth = (revenue[ipo_year] - revenue[ipo_year-1]) / revenue[ipo_year-1]']]"
210,"['AMTB', 'KeyError', KeyError('ebit'), ['File : soneprocess.py , Line : 79, Func.Name : parse_helper, Message : ret[""ebit""] =  rowvalues[""ebit""]']]"
211,"['MDJH', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
212,"['TIGR', 'KeyError', KeyError('ebit'), ['File : soneprocess.py , Line : 79, Func.Name : parse_helper, Message : ret[""ebit""] =  rowvalues[""ebit""]']]"
213,"['GNFT', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
214,"['DTIL', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
215,"['TMDX', 'KeyError', KeyError(2017), ['File : soneprocess.py , Line : 90, Func.Name : parse_helper, Message : revenue_growth = (revenue[ipo_year] - revenue[ipo_year-1]) / revenue[ipo_year-1]']]"
216,"['RRBI', 'KeyError', KeyError('ebit'), ['File : soneprocess.py , Line : 79, Func.Name : parse_helper, Message : ret[""ebit""] =  rowvalues[""ebit""]']]"
217,"['TRVI', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
218,"['SPFI', 'KeyError', KeyError('ebit'), ['File : soneprocess.py , Line : 79, Func.Name : parse_helper, Message : ret[""ebit""] =  rowvalues[""ebit""]']]"
219,"['MIST', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
220,"['NXTC', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
221,"['CRTX', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
222,"['AXLA', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
223,"['JFIN', 'KeyError', KeyError('ebit'), ['File : soneprocess.py , Line : 79, Func.Name : parse_helper, Message : ret[""ebit""] =  rowvalues[""ebit""]']]"
224,"['BCYC', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
225,"['IDYA', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
226,"['FULC', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
227,"['MIRM', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 77, Func.Name : parse_helper, Message : revenue[ipo_year] = rowvalues['totalrevenue']""]]"
228,"['GMAB', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
229,"['PHR', 'KeyError', KeyError(2017), ['File : soneprocess.py , Line : 90, Func.Name : parse_helper, Message : revenue_growth = (revenue[ipo_year] - revenue[ipo_year-1]) / revenue[ipo_year-1]']]"
230,"['AMK', 'KeyError', KeyError('ebit'), ['File : soneprocess.py , Line : 79, Func.Name : parse_helper, Message : ret[""ebit""] =  rowvalues[""ebit""]']]"
231,"['IFS', 'KeyError', KeyError('ebit'), ['File : soneprocess.py , Line : 79, Func.Name : parse_helper, Message : ret[""ebit""] =  rowvalues[""ebit""]']]"
232,"['MDLA', 'KeyError', KeyError(2017), ['File : soneprocess.py , Line : 90, Func.Name : parse_helper, Message : revenue_growth = (revenue[ipo_year] - revenue[ipo_year-1]) / revenue[ipo_year-1]']]"
233,"['PROS', 'KeyError', KeyError('grossprofit'), [""File : soneprocess.py , Line : 80, Func.Name : parse_helper, Message : ret['grossprofit']=rowvalues['grossprofit']""]]"
234,"['VIST', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
235,"['SNDL', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
236,"['HKIB', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
237,"['JFU', 'KeyError', KeyError('ebit'), ['File : soneprocess.py , Line : 79, Func.Name : parse_helper, Message : ret[""ebit""] =  rowvalues[""ebit""]']]"
238,"['CFB', 'KeyError', KeyError('ebit'), ['File : soneprocess.py , Line : 79, Func.Name : parse_helper, Message : ret[""ebit""] =  rowvalues[""ebit""]']]"
239,"['SI', 'KeyError', KeyError('ebit'), ['File : soneprocess.py , Line : 79, Func.Name : parse_helper, Message : ret[""ebit""] =  rowvalues[""ebit""]']]"
240,"['GRTX', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
241,"['ETNB', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 77, Func.Name : parse_helper, Message : revenue[ipo_year] = rowvalues['totalrevenue']""]]"
242,"['BILL', 'KeyError', KeyError(2017), ['File : soneprocess.py , Line : 90, Func.Name : parse_helper, Message : revenue_growth = (revenue[ipo_year] - revenue[ipo_year-1]) / revenue[ipo_year-1]']]"
243,"['BEAM', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
244,"['PFHD', 'KeyError', KeyError('ebit'), ['File : soneprocess.py , Line : 79, Func.Name : parse_helper, Message : ret[""ebit""] =  rowvalues[""ebit""]']]"
245,"['HUIZ', 'KeyError', KeyError('grossprofit'), [""File : soneprocess.py , Line : 80, Func.Name : parse_helper, Message : ret['grossprofit']=rowvalues['grossprofit']""]]"
246,"['RVMD', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
247,"['PASG', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
248,"['LYRA', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 77, Func.Name : parse_helper, Message : revenue[ipo_year] = rowvalues['totalrevenue']""]]"
249,"['GAN', 'KeyError', KeyError(2018), ['File : soneprocess.py , Line : 90, Func.Name : parse_helper, Message : revenue_growth = (revenue[ipo_year] - revenue[ipo_year-1]) / revenue[ipo_year-1]']]"
250,"['AYLA', 'ZeroDivisionError', ZeroDivisionError('float division by zero'), ['File : soneprocess.py , Line : 90, Func.Name : parse_helper, Message : revenue_growth = (revenue[ipo_year] - revenue[ipo_year-1]) / revenue[ipo_year-1]']]"
251,"['ADCT', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
252,"['PLRX', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
253,"['LEGN', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
254,"['CALT', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
255,"['AMTI', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
256,"['GBIO', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 77, Func.Name : parse_helper, Message : revenue[ipo_year] = rowvalues['totalrevenue']""]]"
257,"['PCVX', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
258,"['RNA', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
259,"['RPTX', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
260,"['FMTX', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
261,"['PYPD', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
262,"['AKUS', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
263,"['FUSN', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
264,"['DNB', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
265,"['LMND', 'KeyError', KeyError('grossprofit'), [""File : soneprocess.py , Line : 80, Func.Name : parse_helper, Message : ret['grossprofit']=rowvalues['grossprofit']""]]"
266,"['PSTX', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
267,"['NKTX', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
268,"['IVA', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
269,"['RLAY', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
270,"['RNLX', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 77, Func.Name : parse_helper, Message : revenue[ipo_year] = rowvalues['totalrevenue']""]]"
271,"['ITOS', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
272,"['INZY', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
273,"['ANNX', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
274,"['NRIX', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
275,"['LI', 'ZeroDivisionError', ZeroDivisionError('float division by zero'), ['File : soneprocess.py , Line : 90, Func.Name : parse_helper, Message : revenue_growth = (revenue[ipo_year] - revenue[ipo_year-1]) / revenue[ipo_year-1]']]"
276,"['ALVR', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
277,"['RKT', 'KeyError', KeyError('ebit'), ['File : soneprocess.py , Line : 79, Func.Name : parse_helper, Message : ret[""ebit""] =  rowvalues[""ebit""]']]"
278,"['IBEX', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
279,"['CMPI', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
280,"['KBNT', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
281,"['INBX', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
282,"['HRMY', 'ZeroDivisionError', ZeroDivisionError('float division by zero'), ['File : soneprocess.py , Line : 90, Func.Name : parse_helper, Message : revenue_growth = (revenue[ipo_year] - revenue[ipo_year-1]) / revenue[ipo_year-1]']]"
283,"['KYMR', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
284,"['NNOX', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
285,"['MTCR', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 77, Func.Name : parse_helper, Message : revenue[ipo_year] = rowvalues['totalrevenue']""]]"
286,"['STEP', 'KeyError', KeyError(2019), ['File : soneprocess.py , Line : 90, Func.Name : parse_helper, Message : revenue_growth = (revenue[ipo_year] - revenue[ipo_year-1]) / revenue[ipo_year-1]']]"
287,"['SNOW', 'KeyError', KeyError(2018), ['File : soneprocess.py , Line : 90, Func.Name : parse_helper, Message : revenue_growth = (revenue[ipo_year] - revenue[ipo_year-1]) / revenue[ipo_year-1]']]"
288,"['DYN', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
289,"['CMPS', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
290,"['VTRU', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
291,"['ATHA', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
292,"['TSHA', 'KeyError', KeyError(2019), ['File : soneprocess.py , Line : 90, Func.Name : parse_helper, Message : revenue_growth = (revenue[ipo_year] - revenue[ipo_year-1]) / revenue[ipo_year-1]']]"
293,"['PMVP', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
294,"['PRLD', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
295,"['GRAY', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
296,"['AMST', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
297,"['ORPH', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
298,"['BQ', 'KeyError', KeyError(2018), ['File : soneprocess.py , Line : 90, Func.Name : parse_helper, Message : revenue_growth = (revenue[ipo_year] - revenue[ipo_year-1]) / revenue[ipo_year-1]']]"
299,"['NGMS', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
300,"['OLMA', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
